,Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Model Order
430,TDG,0.22559999999999997,0.20115327489255552,1.6420000000000001,1.2457747790030107,"(1, 1, 0)"
431,TDY,0.071,0.09404467023707404,1.1516,0.9694302656715438,"(1, 1, 1)"
432,TECH,0.2408,0.2829030929488046,3.033,2.3591685823611677,"(0, 1, 1)"
433,TEL,0.13840000000000002,0.17388110880713867,1.4255999999999998,0.7778716089432754,"(0, 1, 1)"
434,TER,0.11880000000000002,0.18040776036523484,1.1034,0.5626340195899996,"(0, 1, 0)"
435,TFC,0.1764,0.2900252402809107,2132791371323.268,4265582742641.741,"(3, 1, 1)"
436,TFX,0.11280000000000001,0.08348987962621578,2.9926,2.1582562035124555,"(0, 1, 0)"
437,TGT,0.0858,0.048445433221305796,1.174,0.3950822699134954,"(0, 1, 1)"
438,TJX,0.12500000000000003,0.13414469799436726,2.0014,1.8329897544721845,"(0, 1, 1)"
439,TMO,0.1292,0.12065222749705037,2.3922000000000003,2.1070958592337465,"(1, 0, 0)"
