Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Best Model
SEDG,14.859579814734383,13.151819897362394,0.12031907263026,0.078452281114177,<keras.src.engine.sequential.Sequential object at 0x79130426ea70>
SEE,2.1494820461119666,1.311133565443814,0.0412579436179415,0.0295153694119717,<keras.src.engine.sequential.Sequential object at 0x7914501c3b20>
SHW,6.781391651776795,3.1020393168714,0.0310068267511012,0.0090552933014274,<keras.src.engine.sequential.Sequential object at 0x79145075be50>
SJM,3.479478399666811,0.7087695114483976,0.0255032560023631,0.0050856166520682,<keras.src.engine.sequential.Sequential object at 0x7913d85454e0>
SLB,2.5340174562838778,0.749813757629829,0.0465144345069194,0.0154342489761696,<keras.src.engine.sequential.Sequential object at 0x79137b0e2680>
SNA,7.127741470775884,4.961779455697309,0.0309610635772261,0.0206930046274621,<keras.src.engine.sequential.Sequential object at 0x7912ec19cfa0>
SNPS,6.72237516885711,5.598403231503971,0.0233565560124651,0.006575981341314,<keras.src.engine.sequential.Sequential object at 0x79137c3126e0>
SO,1.1557479501334842,0.400510080385726,0.019993638437299,0.0048490713963864,<keras.src.engine.sequential.Sequential object at 0x7913041a0670>
SPG,3.785079027103437,0.8623753231818337,0.0277445092825655,0.0073382703760096,<keras.src.engine.sequential.Sequential object at 0x79137b6ae260>
SPGI,9.551282139589526,7.078018745333544,0.0285237688090679,0.010747638717316,<keras.src.engine.sequential.Sequential object at 0x791324636c20>
SRE,1.924380491369525,0.6278690211904041,0.0329678402253901,0.0042844966139798,<keras.src.engine.sequential.Sequential object at 0x79138427efb0>
STE,7.348349676017898,4.490539705488629,0.0465251731685442,0.0181274048333192,<keras.src.engine.sequential.Sequential object at 0x7914501af760>
STLD,2.5688475273890434,1.5262081126715483,0.0489597045633766,0.0155985718347013,<keras.src.engine.sequential.Sequential object at 0x79137bdefbe0>
STT,3.186694728759673,1.2012806019215845,0.0454148100211537,0.0297010695399273,<keras.src.engine.sequential.Sequential object at 0x7913254ed300>
STX,2.8447617924699293,1.6144511788402576,0.0464782149981789,0.0105255420170396,<keras.src.engine.sequential.Sequential object at 0x7913b47d6d70>
STZ,7.174462297343934,2.6608593693850184,0.0310803916774397,0.0093552859204739,<keras.src.engine.sequential.Sequential object at 0x7913b4729d50>
SWK,5.831748701875202,3.161055915519034,0.0417115591617434,0.0308880443168799,<keras.src.engine.sequential.Sequential object at 0x7913761c8c10>
SWKS,5.382887420205933,3.2365297826698827,0.0386818444818488,0.0100625303339343,<keras.src.engine.sequential.Sequential object at 0x79137bc8ac20>
SYF,1.199289985163653,0.4649379799589719,0.0281537922912772,0.0073752557965337,<keras.src.engine.sequential.Sequential object at 0x79137b9dc850>
SYK,6.480573117015581,2.947415072170404,0.0269774004702099,0.0070954458129015,<keras.src.engine.sequential.Sequential object at 0x79137bdec8b0>
SYY,1.9378503094365385,0.7660594315179626,0.0275039047338251,0.0062519690711525,<keras.src.engine.sequential.Sequential object at 0x7913d81d7190>
T,0.621050893460913,0.312039316804808,0.0349507929997922,0.0193249854642612,<keras.src.engine.sequential.Sequential object at 0x791376afe590>
TAP,1.8830250542728264,0.2816024521448833,0.0251966529687022,0.0030453628086437,<keras.src.engine.sequential.Sequential object at 0x79137c12e3e0>
TDG,19.81961260132301,9.246880003405908,0.0371451356541666,0.0129543635359257,<keras.src.engine.sequential.Sequential object at 0x7912dcea6dd0>
TDY,15.62002623127194,12.09236526092148,0.0468467395045167,0.0278451635866944,<keras.src.engine.sequential.Sequential object at 0x791450283310>
TECH,3.040827776823752,2.4932285684759896,0.0394672108708801,0.011390071498872,<keras.src.engine.sequential.Sequential object at 0x7912fc40bc10>
TEL,4.358959065030441,2.860358918205074,0.0354062893128964,0.0133109462112098,<keras.src.engine.sequential.Sequential object at 0x791450180490>
TER,3.09525879090038,1.5623650977748114,0.0377506222319478,0.0108836897222398,<keras.src.engine.sequential.Sequential object at 0x7914029ebfd0>
TFC,1.367215168057658,0.297770225024289,0.0310378817303971,0.0110026777490959,<keras.src.engine.sequential.Sequential object at 0x791324a394b0>
TFX,12.320038015267189,7.63521966550865,0.0390596904734589,0.0174628859646472,<keras.src.engine.sequential.Sequential object at 0x7912dcea5420>
TGT,6.786683947772734,4.413089132129589,0.0482742589011621,0.0274951835799489,<keras.src.engine.sequential.Sequential object at 0x7912c814a9e0>
TJX,2.1098447622018104,1.1371639058395568,0.0318513007035097,0.0105143659466816,<keras.src.engine.sequential.Sequential object at 0x7912dc48c130>
TMO,17.231586696269087,12.624888771167724,0.0451225946173082,0.0178642189737463,<keras.src.engine.sequential.Sequential object at 0x7912d55048b0>
TMUS,2.251439739552977,0.5307444711327841,0.0215178710498746,0.0057414164897294,<keras.src.engine.sequential.Sequential object at 0x791450365a50>
TPR,2.645490458205704,0.5996654725639443,0.0687582767319904,0.0221919179868542,<keras.src.engine.sequential.Sequential object at 0x7912c8261870>
TRGP,3.781559387096173,1.7713184928836765,0.0664242400606162,0.0173721038048049,<keras.src.engine.sequential.Sequential object at 0x7912e54051b0>
TRMB,1.9886003631893008,0.5011044011439231,0.0448274780441762,0.0316804279743306,<keras.src.engine.sequential.Sequential object at 0x7913761c8d00>
TROW,3.1730074240535115,1.2828857998082428,0.0269029645669188,0.0094535010264195,<keras.src.engine.sequential.Sequential object at 0x7913d8325930>
TRV,3.300993088944298,0.9635181451436124,0.0215853359254955,0.0040162401314023,<keras.src.engine.sequential.Sequential object at 0x7912e458f4f0>
TSCO,4.255778070160585,1.614121053117241,0.0307795872061652,0.007056412966918,<keras.src.engine.sequential.Sequential object at 0x791324773520>
TSLA,6.008832314402666,5.795951100393811,0.0609471403161387,0.0171773587584874,<keras.src.engine.sequential.Sequential object at 0x7912e4d29f00>
TSN,2.626890125837748,1.1504500794323624,0.0354014946665938,0.0104657358778892,<keras.src.engine.sequential.Sequential object at 0x7912d505ae90>
TT,5.686643198822319,3.514031514681275,0.0413807034491537,0.0072732260468313,<keras.src.engine.sequential.Sequential object at 0x791325959090>
TTWO,5.015066234277255,1.8546484215173995,0.0423280191329127,0.011076635988673,<keras.src.engine.sequential.Sequential object at 0x7912dccc3e20>
TXN,4.741719454367271,2.3327146807726664,0.0391494712983131,0.0153427060160733,<keras.src.engine.sequential.Sequential object at 0x7912e4749c30>
